comparison	mode	ppi_edges	ppi_nodes	cap_genes_in_ppi	targets_total	targets_in_ppi	targets_mapped_into_cap_ppi	cap_up_genes	cap_down_genes	CAP_up_vs_bg_U	CAP_up_vs_bg_p	CAP_down_vs_bg_U	CAP_down_vs_bg_p	observed_proximity_up	observed_proximity_down	empirical_p_up	empirical_p_down	fisher_top200_CAP_up_overlap	fisher_top200_CAP_up_or	fisher_top200_CAP_up_p	fisher_top200_CAP_down_overlap	fisher_top200_CAP_down_or	fisher_top200_CAP_down_p	corr_absD_spearman	corr_absD_p	corr_posD_spearman	corr_posD_p
raw_targets	raw	236837	16194	10245	337	332	203	2796	2398	7130753.0	0.0014864367288666956	6069080.5	0.254639428464685	4.845325280746644e-05	1.0518560630418727e-05	0.000999000999000999	0.13386613386613386	73	1.5456146387871181	0.0025418308318780874	45	0.9490698216415557	0.6471712957696754	0.02977481609769686	0.0025779762507928982	0.02852295472029941	0.0038861322886194036
diffusion_targets	diffusion	236837	16194	10245	337	332	203	2796	2398	8406288.5	8.338510375551064e-45	6004951.5	0.7225473756059033	5.2722433058295496e-05	7.37877154350432e-06	0.000999000999000999	0.2177822177822178	73	1.5456146387871181	0.0025418308318780874	44	0.9215192906781692	0.7083773738573332	0.10675151067867684	2.355220779375238e-27	0.14923897467831576	4.189198061311078e-52
