gene_symbol	D_meta	P_diffusion	group
TBXAS1	4.827881738087566	0.0034121279108295165	CAP_up
CYP2J2	-2.9833846100930943	0.003358289607173569	CAP_down
ALOX12	0.3016642862804488	0.0033325236253250686	background
ALOX15	-2.7889519465800627	0.003283893711067008	CAP_down
CBR1	0.0968055239949732	0.0032450508343406567	background
CYP19A1	13.374723966931665	0.0032185356565339164	CAP_up
AKR1C3	-2.180250112530445	0.0031937788417930684	CAP_down
ALOX5	12.526562700042788	0.003178627540437631	CAP_up
CYP2D6	-0.6449111382013923	0.003176340494531014	background
PTGS1	0.8466400602283717	0.003140600336123168	background
DUSP3	5.440533290801399	0.0031209523390071485	CAP_up
ABCB1	-13.98379645422544	0.003092023921011765	CAP_down
CES1	3.766663348326701	0.00309073630983462	CAP_up
NR3C2	-12.286938877169694	0.0030857672229797975	CAP_down
FABP5	1.132016530847752	0.0030585157713419694	CAP_up
CYP2E1	-10.058253738494844	0.0030380116257970073	CAP_down
PTGS2	3.319579032852584	0.0030274858926118324	CAP_up
MAP3K8	1.8923037529586144	0.00302737636946578	CAP_up
ESR2	-0.5411405574329615	0.0030139847661426345	background
PTPRF	-0.0816822989354917	0.003007369134457256	background
SLC22A1	4.824106645122112	0.003004069005999572	CAP_up
ADORA2B	5.350097184565041	0.0029961635793715816	CAP_up
CHRNA7	1.3615958723338768	0.0029834256590419456	CAP_up
PPARD	-1.6218526434044302	0.0029646931784809384	CAP_down
CES2	-0.0775445996719681	0.0029620613119676355	background
PTPN1	2.703114998279936	0.0029531775397906115	CAP_up
NR3C1	0.3068963728069246	0.0029485096970018674	background
SIRT2	0.8169149739791922	0.002928494027842906	background
AKR1B1	-1.4105089538867102	0.0029217555555948104	CAP_down
CNR2	-6.185438670441256	0.002918864009536655	CAP_down
GRM2	-3.223776743045755	0.0029142617027075593	CAP_down
GAA	1.3952609264137197	0.002910529573347513	CAP_up
MAPKAPK2	5.645839871864881	0.0029068295682174784	CAP_up
PDPK1	0.6506423262724897	0.0028944052942461557	background
ADORA2A	1.9408980899803832	0.00289059467463231	CAP_up
OXTR	-0.0461136355557829	0.002881562562769598	background
HIF1A	4.7586034214000765	0.002873029896314528	CAP_up
MAP2K1	0.6127710296463811	0.002872628282080396	background
MGAM	26.60651338627381	0.0028706841047597205	CAP_up
ESR1	-0.5029685559647539	0.002869214979788065	background
CARM1	-0.2640707113343388	0.002868059058468233	background
INSR	0.0726167361327096	0.0028649726475351496	background
CYP1B1	15.077366661105462	0.0028643995286037833	CAP_up
MAPK14	23.722077122235373	0.0028633475690459584	CAP_up
STAT3	8.985665464670035	0.0028573530629371234	CAP_up
CNR1	0.5457083352367241	0.0028568080125485487	background
RXRA	3.936495489799202	0.002855114970441022	CAP_up
FLT4	-12.621754571410326	0.002843800409347921	CAP_down
MAP2K7	-0.0427482209922996	0.0028426268136312973	background
THRA	-1.354766799905378	0.0028409654564418474	CAP_down
ERBB2	-8.855604564586617	0.0028371278047911626	CAP_down
CTSL	1.093309450105476	0.002836423457293895	CAP_up
HDAC6	-0.0068118774423692	0.002835660821452035	background
AR	-0.3893556195578196	0.002833655168351653	background
BRAF	0.0261409997295109	0.0028314386103281248	background
PPARG	21.56642409014165	0.002829660928777147	CAP_up
MAPK1	2.216455866588377	0.0028286723244517692	CAP_up
IGF1R	1.12196391048529	0.0028272443442920545	CAP_up
PTPN11	-0.179369398580359	0.0028251695729591005	background
TRPV1	-2.0708401820774003	0.0028241306043027097	CAP_down
NQO1	-0.0193345743502268	0.0028233511866714994	background
CTSD	13.000027579216626	0.0028216856925602626	CAP_up
GRK6	5.40932544307259	0.0028207834173168437	CAP_up
PTPN2	0.1907088488613856	0.0028207787671836533	background
NFKB1	3.1323617676479927	0.0028128708145676454	CAP_up
PIK3CG	2.6982537799871102	0.002812606605471356	CAP_up
PTK2	0.5467088889306354	0.00281094530503076	background
AXL	-15.472639333479556	0.0028099142090402987	CAP_down
KDM2A	1.9360220360262568	0.0028082170156814466	CAP_up
PIK3CA	0.9670210812297146	0.002802718923866316	background
MCL1	4.185856457652933	0.002798543465251131	CAP_up
HDAC3	0.0396139594832093	0.00279609022803135	background
SRC	-0.3761376298274456	0.0027945306547743102	background
SOAT1	1.1400249036338046	0.002792765034107911	CAP_up
KIT	-6.7048017094735854	0.0027917404140051453	CAP_down
RELA	0.6661475183408505	0.002791657518763342	background
PKN1	0.1666300268631895	0.002788641663820671	background
EGLN1	2.53941141674929	0.002780632826343034	CAP_up
PTPN6	3.672638650862057	0.002780439342579341	CAP_up
FYN	-4.375335771479016	0.0027789968749406344	CAP_down
ESRRA	1.678183727045154	0.002778295601107732	CAP_up
FUCA1	-0.0177180459594176	0.002777954886391071	background
PIK3CB	4.607086967313807	0.002777868473078366	CAP_up
DPP4	-8.22162102655599	0.002777187519229912	CAP_down
SOAT2	-10.49047278819064	0.0027753315744157027	CAP_down
HSP90AA1	1.2013066480215957	0.0027742620823772756	CAP_up
MMP9	39.54433407936886	0.0027734375726847353	CAP_up
MAPT	-3.454996133054559	0.002773154608396976	CAP_down
KDM5C	0.8360895239962538	0.002773048886966266	background
HDAC8	-2.071827345950945	0.002772369204881717	CAP_down
FLT3	1.7677334004244143	0.0027722875091686864	CAP_up
PPARA	-1.2270600576745911	0.002769990038767452	CAP_down
DYRK1A	0.2795622283641725	0.002767744293402115	background
BCL2	-4.28360971890568	0.0027673438541471456	CAP_down
GSK3B	1.3252647928563748	0.002767034816741354	CAP_up
EPHX2	-13.84420788709468	0.002766264040161693	CAP_down
AKT1	-0.1020314093023244	0.002765811228720322	background
