section	configuration	mode	ppi_edges	ppi_nodes	cap_genes_in_ppi	targets_total	targets_in_ppi	targets_mapped_into_cap_ppi	cap_up_genes	cap_down_genes	CAP_up_vs_bg_U	CAP_up_vs_bg_p	CAP_down_vs_bg_U	CAP_down_vs_bg_p	observed_proximity_up	observed_proximity_down	empirical_p_up	empirical_p_down	fisher_top200_CAP_up_overlap	fisher_top200_CAP_up_or	fisher_top200_CAP_up_p	fisher_top200_CAP_down_overlap	fisher_top200_CAP_down_or	fisher_top200_CAP_down_p	corr_absD_spearman	corr_absD_p	corr_posD_spearman	corr_posD_p
raw_vs_diffusion	raw_targets	raw	236837	16194	10245	337	332	203	2796	2398	7130753.0	0.00148643672886669	6069080.5	0.254639428464685	4.84532528074664e-05	1.05185606304187e-05	0.000999000999000999	0.133866133866133	73	1.54561463878711	0.00254183083187808	45	0.949069821641555	0.647171295769675	0.0297748160976968	0.00257797625079289	0.0285229547202994	0.0038861322886194
raw_vs_diffusion	diffusion_targets	diffusion	236837	16194	10245	337	332	203	2796	2398	8406288.5	8.33851037555106e-45	6004951.5	0.722547375605903	5.27224330582954e-05	7.37877154350432e-06	0.000999000999000999	0.217782217782217	73	1.54561463878711	0.00254183083187808	44	0.921519290678169	0.708377373857333	0.106751510678676	2.35522077937523e-27	0.149238974678315	4.18919806131107e-52
ppi_threshold	400	diffusion	928998	19480	11507	337	335	205	3090	2804	10492840.0	1.46719618422234e-59	7737208.0	0.895862374645525	4.58621938230111e-05	2.41265002321063e-06	0.000999000999000999	0.382617382617382	73	1.57942264177534	0.00162063282793157	45	0.899484385413134	0.757007114078622	0.119621019236371	6.08894324800031e-38	0.1732945704474	2.85778121435662e-78
ppi_threshold	700	diffusion	236837	16194	10245	337	332	203	2796	2398	8406288.5	8.33851037555106e-45	6004951.5	0.722547375605903	5.27224330582954e-05	7.37877154350432e-06	0.000999000999000999	0.217782217782217	73	1.54561463878711	0.00254183083187808	44	0.921519290678169	0.708377373857333	0.106751510678676	2.35522077937523e-27	0.149238974678315	4.18919806131107e-52
ppi_threshold	900	diffusion	100830	12318	8323	337	310	192	2386	1856	5723403.0	1.94857638533644e-32	3791099.0	0.474400378910717	6.04463070265038e-05	1.3513272249072e-05	0.000999000999000999	0.15084915084915	73	1.44384189330419	0.00921996056688143	43	0.953235830396885	0.635926261332618	0.0976072547185474	4.46765734880611e-19	0.133004939206299	3.6702794053056e-34
target_space	full_syndrome	diffusion	236837	16194	10245	388	381	229	2796	2398	8415728.5	2.08435815510581e-45	6023235.5	0.647868034148279	5.02189479804947e-05	5.39583282020502e-06	0.000999000999000999	0.246753246753246	76	1.6505574003795	0.000564926771782742	40	0.814991518235793	0.892866273052455	0.110046717197686	5.6384098163769e-29	0.148383232777625	1.59927165127946e-51
target_space	core_herbs	diffusion	236837	16194	10245	337	332	203	2796	2398	8406288.5	8.33851037555106e-45	6004951.5	0.722547375605903	5.27224330582954e-05	7.37877154350432e-06	0.000999000999000999	0.217782217782217	73	1.54561463878711	0.00254183083187808	44	0.921519290678169	0.708377373857333	0.106751510678676	2.35522077937523e-27	0.149238974678315	4.18919806131107e-52
