ppi_threshold	mode	ppi_edges	ppi_nodes	cap_genes_in_ppi	targets_total	targets_in_ppi	targets_mapped_into_cap_ppi	cap_up_genes	cap_down_genes	CAP_up_vs_bg_U	CAP_up_vs_bg_p	CAP_down_vs_bg_U	CAP_down_vs_bg_p	observed_proximity_up	observed_proximity_down	empirical_p_up	empirical_p_down	fisher_top200_CAP_up_overlap	fisher_top200_CAP_up_or	fisher_top200_CAP_up_p	fisher_top200_CAP_down_overlap	fisher_top200_CAP_down_or	fisher_top200_CAP_down_p	corr_absD_spearman	corr_absD_p	corr_posD_spearman	corr_posD_p
400	diffusion	928998	19480	11507	337	335	205	3090	2804	10492840.0	1.4671961842223495e-59	7737208.0	0.8958623746455255	4.586219382301111e-05	2.4126500232106354e-06	0.000999000999000999	0.3826173826173826	73	1.5794226417753465	0.0016206328279315784	45	0.8994843854131347	0.7570071140786226	0.11962101923637154	6.088943248000319e-38	0.17329457044740065	2.857781214356625e-78
700	diffusion	236837	16194	10245	337	332	203	2796	2398	8406288.5	8.338510375551064e-45	6004951.5	0.7225473756059033	5.2722433058295496e-05	7.37877154350432e-06	0.000999000999000999	0.2177822177822178	73	1.5456146387871181	0.0025418308318780874	44	0.9215192906781692	0.7083773738573332	0.10675151067867684	2.355220779375238e-27	0.14923897467831576	4.189198061311078e-52
900	diffusion	100830	12318	8323	337	310	192	2386	1856	5723403.0	1.9485763853364412e-32	3791099.0	0.4744003789107175	6.044630702650383e-05	1.3513272249072073e-05	0.000999000999000999	0.15084915084915085	73	1.443841893304193	0.009219960566881432	43	0.9532358303968859	0.6359262613326186	0.09760725471854749	4.467657348806117e-19	0.13300493920629933	3.670279405305607e-34
