library	input_set	Term	Adjusted.P.value	P.value	Odds.Ratio	Combined.Score	Genes
Reactome_2022	CAP_up	RNA Polymerase II Transcription R-HSA-73857	0.000327425859181101	4.33702510371149e-05	1.35858117785828	13.647948950321	RB1;CCNK;SPI1;EIF4A3;SERPINE1;RBPJ;LSM10;PSMD9;PSMD6;PSMD4;PSMD2;CHEK1;PIP4K2C;RNF111;ZNF18;ZNF282;PRKCB;MED8;PRKAB1;RRAGA;RRAGC;SCO2;DDIT3;PSME3;DDIT4;RRAGD;MAML3;DNA2;MYL9;TGFA;RTF1;TP53BP2;NRBF2;ZNF267;NFE2;PLK3;ZNF143;CREBBP;JUN;PHC2;PRELID1;JAG1;CRADD;GADD45A;INTS3;EAF1;ELL2;TPX2;AGO4;H2AC20;PAF1;INTS8;H2AX;INTS12;BTG2;CDKN1A;ELL;CITED4;PRKAG1;ASH2L;BRCA1;MED16;MED12;CTSL;ELOC;H3-3B;PRMT5;RMI2;RMI1;TOP3A;GP1BA;FOS;H2AJ;PSMA4;MED20;RARA;PPARG;SLU7;PCNA;CTDP1;ZNF350;COX5B;PPP2CA;RXRA;H3C13;PSMB3;BID;ZNF222;MBD4;CDKN2B;TIGAR;H2BC5;NR1H2;NFYC;H2BC4;GSR;HIPK1;PSMB8;GATAD2A;PSMB9;HIPK2;RYBP;NR6A1;PSMC1;CCNG2;CTNNB1;LAMTOR2;LAMTOR1;LAMTOR4;ZNF213;LAMTOR3;LAMTOR5;GTF2B;UBE2D3;ITGA2B;CASC3;CCND3;SESN2;EP300;KMT5A;ZNF200;H2AC6;H2AC7;LMO2;CDC25C;THOC5;NRBP1;CCNE2;H4C15;KAT6A;SRSF4;SRSF9;FKBP5;NOTCH2;PSMD12;NOTCH1;PSMD13;FOXO4;NDRG1;SOCS3;CCNB1;BCL2L11;UBC;ZKSCAN5;SKIL;ESRRA;CBX8;SMAD1;UBE2C;CBX3;CAV1;TNFRSF10C;NFKB1;BMP2;CDK7;TP53I3;BCL6;CDK5;UBE2S;RHEB;CNOT3;MDM2;CDK1;NABP1;CNOT8;YWHAE;GSK3B;KDM5B;YWHAB;PTEN;SLC2A3;NR2E1;SUMO1;EXO1;H2BC21;CASP1;MYBL2;LBR;YWHAG;YWHAH;CR1;APAF1;RFC2;H2BC17;YWHAZ;CCNA2;H2BC12;PPM1A;TFDP1;RRM2B;H2BC11;BIRC5;HDAC4;HDAC5;CEBPB;SMARCD2;RNF34;SMARCD3;POLDIP3;FURIN;MLLT1;U2AF1;RETN;NLRC4;PPM1D;THBS1;AURKB;AURKA;HDAC7;POLR2A;RBBP5;POLR2C;TP53INP1;E2F1;RBBP8;ZNF746;MAPK1;POLR2J;CAMK2G;E2F7;MAPK3;H2AZ1;PTPN1;RRM2;TAF12;TAF13;TXNRD1;ARID3A;MAPK14;PML;PINK1;RAD51;TAF7
Reactome_2022	CAP_up	Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886	0.000333872601051981	4.44233830755321e-05	4.41336620948271	44.2296288952201	H2AX;H2AZ1;H2AC6;H2BC5;H2AC7;H2BC4;H2BC17;H2BC12;H2AJ;H3C13;H4C15;H2BC21;H2AC20;H2BC11;H3-3B
Reactome_2022	CAP_up	Interleukin-12 Signaling R-HSA-9020591	0.00033481743237605	4.48745904600352e-05	3.89174096730771	38.9627050135396	IL10;SERPINB2;GSTO1;MSN;TALDO1;TYK2;LMNB1;CDC42;CNN2;TOX4;CA1;VAMP7;CAPZA1;P4HB;JAK2;AURKAIP1;S100A9
Reactome_2022	CAP_up	SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232	0.00033481743237605	4.51003854871895e-05	2.13409952778786	21.3551225133278	TOP2A;HDAC4;SP100;PCNA;ZNF350;CDCA8;BRCA1;AURKB;AURKA;HDAC7;RXRA;SUMO1;RAD21;EP300;ZBED1;TRIM27;IKBKG;NUP214;CBX8;NCOA1;CREBBP;PHC2;SEC13;NR1H2;MRTFA;PML;PIAS1;NFKB2;HIPK2;NFKBIA;RNF168;HNRNPK;STAG2;H4C15;NUP50;SP3;MDM2;RARA;BIRC5;PPARG;HNRNPC;TOP1;NUP58
Reactome_2022	CAP_up	Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444	0.00033481743237605	4.53481844566607e-05	2.6672521120498	26.6755628981127	BUB1B;CDCA8;CENPA;AURKB;SKA1;CDC20;PPP2CA;NUF2;BUB1;NDEL1;CENPU;SEC13;PLK1;PPP2R5A;ZWINT;SGO1;DYNC1LI1;CENPE;CLIP1;DYNC1LI2;CENPF;TAOK1;BIRC5;KIF2C;CENPN;B9D2;MAPRE1;SPC25
Reactome_2022	CAP_up	RAC3 GTPase Cycle R-HSA-9013423	0.00033481743237605	4.53481844566607e-05	2.6672521120498	26.6755628981127	NCF1;NCF2;NCF4;SNAP23;CDC42;PREX1;ABR;RACGAP1;STBD1;ARHGDIB;NCKAP1L;LBR;YKT6;GIT2;JAG1;NCOA3;CAV1;ARAP3;CYBB;CYBA;ARHGAP26;MPP7;DEPDC1B;DIAPH3;ABI1;LAMTOR1;RAB7A;VAMP3
Reactome_2022	CAP_up	Regulation Of PTEN Gene Transcription R-HSA-8943724	0.000335142230256852	4.56091893945757e-05	3.24724324324324	32.4574994646111	CBX8;HDAC5;EGR1;JUN;PHC2;PTEN;NR2E1;HDAC7;GATAD2A;RRAGA;RRAGC;RHEB;RRAGD;MAPK1;PPARG;LAMTOR2;LAMTOR1;LAMTOR4;LAMTOR3;MAPK3;LAMTOR5
Reactome_2022	CAP_up	Erythropoietin Activates STAT5 R-HSA-9027283	0.000335142230256852	4.57921066401069e-05	36.9956989247311	369.638782796192	LYN;STAT5A;STAT5B;IRS2;JAK2;EPOR
Reactome_2022	CAP_up	Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273	0.000349378521881664	4.7945739876362e-05	5.69993368700265	56.6883519405396	PPP2CA;CCNA2;CCNB2;CCNB1;CDK7;PLK1;CDK1;PPP2R2A;FOXM1;PKMYT1;CDC25C;CDC25A
Reactome_2022	CAP_up	Chromatin Modifying Enzymes R-HSA-3247509	0.00035038270054753	4.82926037150832e-05	1.91151038742279	18.9970339705698	H2AX;KDM5B;KDM1B;ASH2L;ARID4B;H2BC21;EP300;KMT5A;JAK2;ATXN7L3;NCOA1;KDM6B;PRMT5;KDM2A;H2AC6;H2AC7;MSL3;H2BC17;H2BC18;JMJD6;SAP30;MSL1;H2BC12;MORF4L1;H2AJ;H4C15;KAT6A;HAT1;H2BC11;PADI2;KDELR2;PADI4;KDM7A;SMARCD2;KDM3B;SMARCD3;PHF21A;H3C13;RBBP5;SAP30L;SUDS3;ATF7IP;H2AZ1;CREBBP;KDM4B;H2BC5;TAF12;USP22;H2BC4;NFKB1;GATAD2A;NFKB2;TADA2B;H2AC20;H2AC21;TADA3
