target_space	mode	ppi_edges	ppi_nodes	cap_genes_in_ppi	targets_total	targets_in_ppi	targets_mapped_into_cap_ppi	cap_up_genes	cap_down_genes	CAP_up_vs_bg_U	CAP_up_vs_bg_p	CAP_down_vs_bg_U	CAP_down_vs_bg_p	observed_proximity_up	observed_proximity_down	empirical_p_up	empirical_p_down	fisher_top200_CAP_up_overlap	fisher_top200_CAP_up_or	fisher_top200_CAP_up_p	fisher_top200_CAP_down_overlap	fisher_top200_CAP_down_or	fisher_top200_CAP_down_p	corr_absD_spearman	corr_absD_p	corr_posD_spearman	corr_posD_p
full_syndrome	diffusion	236837	16194	10245	388	381	229	2796	2398	8415728.5	2.084358155105816e-45	6023235.5	0.6478680341482791	5.021894798049476e-05	5.395832820205023e-06	0.000999000999000999	0.24675324675324675	76	1.6505574003795067	0.000564926771782742	40	0.8149915182357931	0.8928662730524551	0.11004671719768672	5.638409816376907e-29	0.14838323277762527	1.5992716512794662e-51
core_herbs	diffusion	236837	16194	10245	337	332	203	2796	2398	8406288.5	8.338510375551064e-45	6004951.5	0.7225473756059033	5.2722433058295496e-05	7.37877154350432e-06	0.000999000999000999	0.2177822177822178	73	1.5456146387871181	0.0025418308318780874	44	0.9215192906781692	0.7083773738573332	0.10675151067867684	2.355220779375238e-27	0.14923897467831576	4.189198061311078e-52
